ID,TWEET,EMOTION,INTENSITY
30000,Just got back from seeing in Burslem AMAZING Face still hurts from laughing so much hilarious,happy,0.98
30001,Oh dear an evening of absolute hilarity I don t think I have laughed so much in a long time,happy,0.958
30002,Been waiting all week for this game cheer friday,happy,0.94
30003,love Thank you so much Gloria You re so sweet and thoughtful You just made my day more joyful I love you too,happy,0.938
30004,I feel so blessed to work with the family that I nanny for nothing but love amp appreciation makes me smile,happy,0.938
30005,Today I reached 1000 subscribers on YT goodday thankful,happy,0.9259999999999999
30006,Good morning love Happy first day of fall Let s make some awesome autumnmemories annabailey laughter smile,happy,0.924
30007,BridgetJonesBaby is the best thing I ve seen in ages So funny I ve missed Bridget love TeamMark,happy,0.922
30008,Just got back from seeing in Burslem AMAZING Face still hurts from laughing so much,happy,0.92
30009,I thought the holidays could not get any more cheerful and then I met you TheNiceBot,happy,0.917
30010,I m just still So happy nA blast,happy,0.917
30011,It s meant to be happy happy,happy,0.917
30012,Yeah PAUL glorious BB18,happy,0.917
30013,My morning started off amazing Hopefully the whole day is going as i want it to go n GreatDay,happy,0.917
30014,you ve had me the whole time watching ishABC after you ve lost your glasses It was hilarious,happy,0.9
30015,love you so much smile,happy,0.8959999999999999
30016,however REI did offer me the job today as well Can t believe how exponentially freaking joyous I feel,happy,0.8959999999999999
30017,2 days until GoPackGo and 23 days until GoGipeGo I m so excited smiling,happy,0.88
30018,You are beyond wonderful Your singing prowess is phenomenal but damn I m just elated to watch you act again ThisIsUs,happy,0.879
30019,Luckii I m changing in so many ways bc of Him It s a scary but joyful feeling making me so strong,happy,0.877
30020,I love parody accounts Well done Vote for Trump lol hilarious,happy,0.875
30021,When you wake up from a dream laughing at something stupid and that makes you laugh more hilarious,happy,0.875
30022,now that I have my future planned out I feel so much happier goals life happy igotthis yay,happy,0.875
30023,Online now all day come play with me I m happy happy horny playful sweet sour,happy,0.875
30024,wonderful experience watching you yesterday at thankyou for the laughter,happy,0.872
30025,Z happy birthday have a blessed day love from Toronto bday,happy,0.868
30026,You make the world a more joyful place TheNiceBot,happy,0.8640000000000001
30027,Morning all Of course it is sunny on this Monday morning to cheerfully welcome us back to work,happy,0.863
30028,Good morning love Happy first day of fall Let s make some awesome autumnmemories annabailey,happy,0.86
30029,It s the FirstDayofFall and I m so happy Sipping my PumpkinSpice flavored coffee and smiling Happy Fall everyone amwriting,happy,0.86
30030,Retweeted GunnySmith93 n nDays like today I am happy to be alive blessed rejoice,happy,0.86
30031,Happy birthday Hope you have a wonderful day filled with lots of joy and laughter lt 3 despite tumblr being a jerk once again,happy,0.8540000000000001
30032,LOVE LOVE LOVE fun relaxationiskey,happy,0.8540000000000001
30033,This is the day You ve made n nLet us rehoi rejoice and be glad with all that I am n n n n aja nGood morning,happy,0.8540000000000001
30034,I love to laugh and share laughter as way to share joy,happy,0.8540000000000001
30035,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL cheering,happy,0.8540000000000001
30036,I m such a fan of endless laughter with friends and enjoying happiness together FridayFeeling weekend,happy,0.8540000000000001
30037,the thought of you gets me through my day the thought of your smile never fails at making me smile,happy,0.8540000000000001
30038,Today I reached 1000 subscribers on YT happy goodday thankful,happy,0.8490000000000001
30039,Getting my comedic relief w during season premiere of ModernFamily Just what a girl needs hilarious,happy,0.846
30040,had more fun than the funniest person in funsville Much hilarity as usual Thank you,happy,0.84
30041,OMD you 2 are cracking me up Thanks for the follow Brian I need some levity to balance the cynicism I share w Michael,happy,0.84
30042,Oh FANTASTIC I bet it was super exhilarating,happy,0.84
30043,well done ladies A great award for an amazing team A delight to present the award to you,happy,0.84
30044,Vals always smiling I love it gbbo,happy,0.84
30045,Had a great time at Skywalkers open gym tonight Come our every Wednesday from 7 8 in Hillsboro and train with us opengym cheer tumbling,happy,0.833
30046,I love how cheery and adoring gets every time he produces new content,happy,0.833
30047,Good morning joyful people Choose happiness to have a great day today morning joyful happiness grandmercurejktkemayoran,happy,0.833
30048,Retweeted GunnySmith93 n nDays like today I am happy to be alive blessed,happy,0.833
30049,Wishing a very Happy Birthday to our awesome dancer Ruthann We hope your day is magical bday eatcake,happy,0.833
30050,Thank you for the balloons today smile goodday 48,happy,0.833
30051,Omg You ve got to watch the new series This is Us wow Best tv show I ve seen in a long time n tears laughter moretears,happy,0.8270000000000001
30052,Today is the first time any math professor let us live early before the class time 15 min feelsgood happy wednesday,happy,0.8270000000000001
30053,Food that gets delivered cheering happy,happy,0.8270000000000001
30054,You know you re in love when all you can do is smile whenever you talk about how he is to someone,happy,0.82
30055,What a lively lovely shower,happy,0.82
30056,What a great training course lots of photos fun and laughter Photo s will be up soon Boostercourse fun laughter,happy,0.82
30057,hahahaha you re ridiculous But thank you a joyous evening xx,happy,0.815
30058,I am so happy I have come across notebooks handmade would love to talk to you musthave want need happy amazing,happy,0.812
30059,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL,happy,0.812
30060,Made my night that Reid was included in tonight s hilarity Some of those points were brilliant Thanks murray,happy,0.812
30061,By the way I m wearing the smile you gave me today n you me,happy,0.812
30062,as always it was indeed a wonderful experience flying with you guys today bestinbusiness delight happyme,happy,0.812
30063,Ah but once I got it to work there was much rejoicing Lol thanks will get it to do taht now,happy,0.812
30064,Getting my comedic relief w during season premiere of ModernFamily Just what a girl needs,happy,0.812
30065,Thank you happy birthday to you as well,happy,0.812
30066,I really love the customer service they re always so nice helpful and cheerful,happy,0.8079999999999999
30067,On PHP54 and though the Kardashian stuff goes over my head you re both hilarious like gleeful little boys,happy,0.8079999999999999
30068,Glad to see that you re having fun in the sun Water sports are always fun challenging and exhilarating happiness beauty,happy,0.7959999999999999
30069,May your day be filled with peace love n laughter Have a very nice day full of Success Jummah Mubarak good morning,happy,0.792
30070,2 days until GoPackGo and 23 days until GoGipeGo I m so excited,happy,0.792
30071,It s funny that everyone came in my life as they like how far I m cheerful and self confident could make me 3abla kaml fg2a kda,happy,0.792
30072,Happy Birthday 56 cheerchick jeep jeepgirl IDriveAJeep jeepjeep Cheer,happy,0.792
30073,TheNiceBot melbjs Here is a smile and a wink from across the web TheNiceBot,happy,0.792
30074,A smile brightens your day and the day of everyone around you so remember to smile it s free,happy,0.792
30075,I m watching joyful noise for 100000000 time cuz I love this movie and,happy,0.792
30076,Indian time it s already ur birthday Have a stupendous birthday Wish you more success laughter and lots of love Hugs x,happy,0.792
30077,now that I have my future planned out I feel so much happier goals life igotthis yay,happy,0.792
30078,BridgetJonesBaby is the best thing I ve seen in ages So funny I ve missed Bridget love hilarious TeamMark,happy,0.7879999999999999
30079,Had a great time at Skywalkers open gym tonight Come our every Wednesday from 7 8 in Hillsboro and train with us opengym tumbling,happy,0.78
30080,hahaha and u da best bro ever luv u hearty hearts,happy,0.78
30081,yes amp cheering homecoming game,happy,0.78
30082,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day May you all have a great time,happy,0.7709999999999999
30083,I m so lively for listen,happy,0.7709999999999999
30084,Offerman I ll be there Can t wait for all the,happy,0.7709999999999999
30085,You are beyond wonderful Your singing prowess is phenomenal but damn I m just elated to watch you act again ThisIsUs,happy,0.7709999999999999
30086,Very pleasing ty,happy,0.7709999999999999
30087,can t wait She said cheerfully and grinned,happy,0.7709999999999999
30088,she s so sweet amp playful,happy,0.7709999999999999
30089,Good morning Trondheim optimism productivity,happy,0.7709999999999999
30090,Thank you disney themed episode for letting me discover how amazing the are hilarious,happy,0.7709999999999999
30091,having a pet store worker ask do you want to play with them is the most exhilarating feeling,happy,0.7709999999999999
30092,lucky Good morning Let s start with a smile nLet s enjoy life in a cheerful way nDon t worry be happy,happy,0.769
30093,Currently listening to amp podcasts Can you guys please move to yvr hilarious missyou,happy,0.769
30094,Lee we just found thin mints in a freezer clean i couldn t be more elated,happy,0.76
30095,I m cheery now,happy,0.76
30096,Probably the best OT period I ve ever seen Absolutely exhilarating WCH2016 TeamNA,happy,0.76
30097,Rewatching Raising Hope with hubs this time and totally forgot how hilarious it is HereWeGo,happy,0.76
30098,as always it was indeed a wonderful experience flying with you guys today bestinbusiness happyme,happy,0.76
30099,looking back on recent tweets seen this one right here is great perfect hilarious Speechless deal,happy,0.76
30100,I found marmite in Australia happy,happy,0.76
30101,McMenemy It ll be easy to spot the parade of tiny weans in expensive jammies Really is hilarious,happy,0.75
30102,Wishing a very Happy Birthday to our awesome dancer Ruthann We hope your day is magical bday happy eatcake,happy,0.75
30103,I love seeing happy women that glow is something real,happy,0.75
30104,Aw there s a young fox outside on the grass just jumping around all playful and having a little stretch soo cute,happy,0.75
30105,North America vs Sweden is the most exhilarating hockey I ve ever watched wow mackinonns mitts are silky TeamNA WCH2016,happy,0.75
30106,Just had efficient great smiling service store Impressive team of geniuses ready to redefine what customer service is,happy,0.75
30107,By the way I m wearing the smile you gave me today n you me smile,happy,0.75
30108,Use your smile to change the world Don t let the world change your smile quote actorslife love hardworkpaysoff fun,happy,0.745
